"date","bi","coord","day","month","year"
1979-01-01,26,"Bovill",1,1,1979
1979-01-02,19,"Bovill",2,1,1979
1979-01-03,19,"Bovill",3,1,1979
1979-01-04,25,"Bovill",4,1,1979
1979-01-05,27,"Bovill",5,1,1979
1979-01-06,28,"Bovill",6,1,1979
1979-01-07,34,"Bovill",7,1,1979
1979-01-08,31,"Bovill",8,1,1979
1979-01-09,0,"Bovill",9,1,1979
1979-01-10,0,"Bovill",10,1,1979
1979-01-11,0,"Bovill",11,1,1979
1979-01-12,0,"Bovill",12,1,1979
1979-01-13,0,"Bovill",13,1,1979
1979-01-14,0,"Bovill",14,1,1979
1979-01-15,0,"Bovill",15,1,1979
1979-01-16,0,"Bovill",16,1,1979
1979-01-17,0,"Bovill",17,1,1979
1979-01-18,17,"Bovill",18,1,1979
1979-01-19,0,"Bovill",19,1,1979
1979-01-20,0,"Bovill",20,1,1979
1979-01-21,0,"Bovill",21,1,1979
1979-01-22,0,"Bovill",22,1,1979
1979-01-23,0,"Bovill",23,1,1979
1979-01-24,0,"Bovill",24,1,1979
1979-01-25,15,"Bovill",25,1,1979
1979-01-26,0,"Bovill",26,1,1979
1979-01-27,0,"Bovill",27,1,1979
1979-01-28,16,"Bovill",28,1,1979
1979-01-29,16,"Bovill",29,1,1979
1979-01-30,24,"Bovill",30,1,1979
1979-01-31,21,"Bovill",31,1,1979
1979-02-01,20,"Bovill",1,2,1979
1979-02-02,0,"Bovill",2,2,1979
1979-02-03,0,"Bovill",3,2,1979
1979-02-04,0,"Bovill",4,2,1979
1979-02-05,0,"Bovill",5,2,1979
1979-02-06,0,"Bovill",6,2,1979
1979-02-07,0,"Bovill",7,2,1979
1979-02-08,0,"Bovill",8,2,1979
1979-02-09,0,"Bovill",9,2,1979
1979-02-10,0,"Bovill",10,2,1979
1979-02-11,0,"Bovill",11,2,1979
1979-02-12,0,"Bovill",12,2,1979
1979-02-13,0,"Bovill",13,2,1979
1979-02-14,0,"Bovill",14,2,1979
1979-02-15,0,"Bovill",15,2,1979
1979-02-16,0,"Bovill",16,2,1979
1979-02-17,0,"Bovill",17,2,1979
1979-02-18,0,"Bovill",18,2,1979
1979-02-19,0,"Bovill",19,2,1979
1979-02-20,0,"Bovill",20,2,1979
1979-02-21,0,"Bovill",21,2,1979
1979-02-22,0,"Bovill",22,2,1979
1979-02-23,0,"Bovill",23,2,1979
1979-02-24,0,"Bovill",24,2,1979
1979-02-25,0,"Bovill",25,2,1979
1979-02-26,0,"Bovill",26,2,1979
1979-02-27,0,"Bovill",27,2,1979
1979-02-28,0,"Bovill",28,2,1979
1979-03-01,0,"Bovill",1,3,1979
1979-03-02,0,"Bovill",2,3,1979
1979-03-03,0,"Bovill",3,3,1979
1979-03-04,0,"Bovill",4,3,1979
1979-03-05,0,"Bovill",5,3,1979
1979-03-06,0,"Bovill",6,3,1979
1979-03-07,0,"Bovill",7,3,1979
1979-03-08,14,"Bovill",8,3,1979
1979-03-09,15,"Bovill",9,3,1979
1979-03-10,19,"Bovill",10,3,1979
1979-03-11,19,"Bovill",11,3,1979
1979-03-12,27,"Bovill",12,3,1979
1979-03-13,22,"Bovill",13,3,1979
1979-03-14,26,"Bovill",14,3,1979
1979-03-15,0,"Bovill",15,3,1979
1979-03-16,0,"Bovill",16,3,1979
1979-03-17,20,"Bovill",17,3,1979
1979-03-18,22,"Bovill",18,3,1979
1979-03-19,26,"Bovill",19,3,1979
