"date","pdsi","coord","day","month","year"
1980-01-05,-0.0600000000000005,"Bovill",5,1,1980
1980-01-10,0,"Bovill",10,1,1980
1980-01-15,0.0700000000000003,"Bovill",15,1,1980
1980-01-20,0.0500000000000007,"Bovill",20,1,1980
1980-01-25,0.0199999999999996,"Bovill",25,1,1980
1980-01-30,0.0400000000000009,"Bovill",30,1,1980
1980-02-04,0.0199999999999996,"Bovill",4,2,1980
1980-02-09,-0.0399999999999991,"Bovill",9,2,1980
1980-02-14,-0.109999999999999,"Bovill",14,2,1980
1980-02-19,-0.0800000000000001,"Bovill",19,2,1980
1980-02-24,-0.0700000000000003,"Bovill",24,2,1980
1980-02-29,-0.0299999999999994,"Bovill",29,2,1980
1980-03-05,-0.0499999999999989,"Bovill",5,3,1980
1980-03-10,-0.0199999999999996,"Bovill",10,3,1980
1980-03-15,0.0300000000000011,"Bovill",15,3,1980
1980-03-20,0.0199999999999996,"Bovill",20,3,1980
1980-03-25,0.0199999999999996,"Bovill",25,3,1980
1980-03-30,0.0300000000000011,"Bovill",30,3,1980
1980-04-04,-0.00999999999999979,"Bovill",4,4,1980
1980-04-09,0.0199999999999996,"Bovill",9,4,1980
1980-04-14,-0.0700000000000003,"Bovill",14,4,1980
1980-04-19,-0.0800000000000001,"Bovill",19,4,1980
1980-04-24,-0.0800000000000001,"Bovill",24,4,1980
1980-04-29,-0.549999999999999,"Bovill",29,4,1980
1980-05-04,-0.629999999999999,"Bovill",4,5,1980
1980-05-09,-0.68,"Bovill",9,5,1980
1980-05-14,-0.709999999999999,"Bovill",14,5,1980
1980-05-19,-0.73,"Bovill",19,5,1980
1980-05-24,-0.709999999999999,"Bovill",24,5,1980
1980-05-29,-0.6,"Bovill",29,5,1980
1980-06-03,0.15,"Bovill",3,6,1980
1980-06-08,0.0999999999999996,"Bovill",8,6,1980
1980-06-13,0.51,"Bovill",13,6,1980
1980-06-18,0.69,"Bovill",18,6,1980
1980-06-23,0.880000000000001,"Bovill",23,6,1980
1980-06-28,1.03,"Bovill",28,6,1980
1980-07-03,1.15,"Bovill",3,7,1980
1980-07-08,1.25,"Bovill",8,7,1980
1980-07-13,1.36,"Bovill",13,7,1980
1980-07-18,1.45,"Bovill",18,7,1980
1980-07-23,1.53,"Bovill",23,7,1980
1980-07-28,1.62,"Bovill",28,7,1980
1980-08-02,1.73,"Bovill",2,8,1980
1980-08-07,1.82,"Bovill",7,8,1980
1980-08-12,1.88,"Bovill",12,8,1980
1980-08-17,1.95,"Bovill",17,8,1980
1980-08-22,2.01,"Bovill",22,8,1980
1980-08-27,2.03,"Bovill",27,8,1980
1980-09-01,2.09,"Bovill",1,9,1980
1980-09-06,2.19,"Bovill",6,9,1980
1980-09-11,2.26,"Bovill",11,9,1980
1980-09-16,2.34,"Bovill",16,9,1980
1980-09-21,2.46,"Bovill",21,9,1980
1980-09-26,2.56,"Bovill",26,9,1980
1980-10-01,2.57,"Bovill",1,10,1980
1980-10-06,2.53,"Bovill",6,10,1980
1980-10-11,2.46,"Bovill",11,10,1980
1980-10-16,2.39,"Bovill",16,10,1980
1980-10-21,2.25,"Bovill",21,10,1980
1980-10-26,2.09,"Bovill",26,10,1980
1980-10-31,1.92,"Bovill",31,10,1980
1980-11-05,1.76,"Bovill",5,11,1980
1980-11-10,1.67,"Bovill",10,11,1980
1980-11-15,1.52,"Bovill",15,11,1980
1980-11-20,1.37,"Bovill",20,11,1980
1980-11-25,1.24,"Bovill",25,11,1980
1980-11-30,1.12,"Bovill",30,11,1980
1980-12-05,1.07,"Bovill",5,12,1980
1980-12-10,0.970000000000001,"Bovill",10,12,1980
1980-12-15,0.85,"Bovill",15,12,1980
1980-12-20,0.75,"Bovill",20,12,1980
1980-12-25,0.790000000000001,"Bovill",25,12,1980
1980-12-30,0.84,"Bovill",30,12,1980
1981-01-05,0.81,"Bovill",5,1,1981
1981-01-10,0.790000000000001,"Bovill",10,1,1981
1981-01-15,0.76,"Bovill",15,1,1981
1981-01-20,0.610000000000001,"Bovill",20,1,1981
1981-01-25,-1.31,"Bovill",25,1,1981
1981-01-30,-1.4,"Bovill",30,1,1981
1981-02-04,-1.49,"Bovill",4,2,1981
1981-02-09,-1.57,"Bovill",9,2,1981
1981-02-14,-1.46,"Bovill",14,2,1981
1981-02-19,-1.29,"Bovill",19,2,1981
1981-02-24,-1.22,"Bovill",24,2,1981
1981-03-01,-1.14,"Bovill",1,3,1981
1981-03-06,-1.05,"Bovill",6,3,1981
1981-03-11,-0.969999999999999,"Bovill",11,3,1981
1981-03-16,-1.06,"Bovill",16,3,1981
1981-03-21,-1.21,"Bovill",21,3,1981
1981-03-26,-1.33,"Bovill",26,3,1981
1981-03-31,-1.4,"Bovill",31,3,1981
1981-04-05,-1.43,"Bovill",5,4,1981
