"date","rmax","coord","day","month","year"
1979-01-01,70.9,"Bovill",1,1,1979
1979-01-02,80.7,"Bovill",2,1,1979
1979-01-03,86.9,"Bovill",3,1,1979
1979-01-04,90.8,"Bovill",4,1,1979
1979-01-05,77.5,"Bovill",5,1,1979
1979-01-06,69.1,"Bovill",6,1,1979
1979-01-07,69,"Bovill",7,1,1979
1979-01-08,69.8,"Bovill",8,1,1979
1979-01-09,99.2,"Bovill",9,1,1979
1979-01-10,100,"Bovill",10,1,1979
1979-01-11,100,"Bovill",11,1,1979
1979-01-12,100,"Bovill",12,1,1979
1979-01-13,100,"Bovill",13,1,1979
1979-01-14,97.9,"Bovill",14,1,1979
1979-01-15,100,"Bovill",15,1,1979
1979-01-16,97.9,"Bovill",16,1,1979
1979-01-17,95.4,"Bovill",17,1,1979
1979-01-18,90.2,"Bovill",18,1,1979
1979-01-19,96.4,"Bovill",19,1,1979
1979-01-20,100,"Bovill",20,1,1979
1979-01-21,100,"Bovill",21,1,1979
1979-01-22,100,"Bovill",22,1,1979
1979-01-23,91.1,"Bovill",23,1,1979
1979-01-24,100,"Bovill",24,1,1979
1979-01-25,93.6,"Bovill",25,1,1979
1979-01-26,100,"Bovill",26,1,1979
1979-01-27,97.1,"Bovill",27,1,1979
1979-01-28,95.8,"Bovill",28,1,1979
1979-01-29,92.1,"Bovill",29,1,1979
1979-01-30,90,"Bovill",30,1,1979
1979-01-31,81.9,"Bovill",31,1,1979
1979-02-01,85.3,"Bovill",1,2,1979
1979-02-02,96.1,"Bovill",2,2,1979
1979-02-03,86.6,"Bovill",3,2,1979
1979-02-04,100,"Bovill",4,2,1979
1979-02-05,99.8,"Bovill",5,2,1979
1979-02-06,100,"Bovill",6,2,1979
1979-02-07,100,"Bovill",7,2,1979
1979-02-08,93.4,"Bovill",8,2,1979
1979-02-09,100,"Bovill",9,2,1979
1979-02-10,100,"Bovill",10,2,1979
1979-02-11,100,"Bovill",11,2,1979
1979-02-12,100,"Bovill",12,2,1979
1979-02-13,100,"Bovill",13,2,1979
1979-02-14,97.8,"Bovill",14,2,1979
1979-02-15,97.4,"Bovill",15,2,1979
1979-02-16,79.1,"Bovill",16,2,1979
1979-02-17,93,"Bovill",17,2,1979
1979-02-18,92.1,"Bovill",18,2,1979
1979-02-19,98.8,"Bovill",19,2,1979
1979-02-20,94.3,"Bovill",20,2,1979
1979-02-21,100,"Bovill",21,2,1979
1979-02-22,93.3,"Bovill",22,2,1979
1979-02-23,95.7,"Bovill",23,2,1979
1979-02-24,94.7,"Bovill",24,2,1979
1979-02-25,94.1,"Bovill",25,2,1979
1979-02-26,100,"Bovill",26,2,1979
1979-02-27,100,"Bovill",27,2,1979
1979-02-28,100,"Bovill",28,2,1979
1979-03-01,100,"Bovill",1,3,1979
1979-03-02,100,"Bovill",2,3,1979
1979-03-03,94.9,"Bovill",3,3,1979
1979-03-04,100,"Bovill",4,3,1979
1979-03-05,100,"Bovill",5,3,1979
1979-03-06,100,"Bovill",6,3,1979
1979-03-07,100,"Bovill",7,3,1979
1979-03-08,98.6,"Bovill",8,3,1979
1979-03-09,87.1,"Bovill",9,3,1979
1979-03-10,83.7,"Bovill",10,3,1979
1979-03-11,90.5,"Bovill",11,3,1979
1979-03-12,100,"Bovill",12,3,1979
1979-03-13,74.1,"Bovill",13,3,1979
1979-03-14,76.4,"Bovill",14,3,1979
1979-03-15,79,"Bovill",15,3,1979
1979-03-16,100,"Bovill",16,3,1979
1979-03-17,100,"Bovill",17,3,1979
1979-03-18,100,"Bovill",18,3,1979
1979-03-19,93,"Bovill",19,3,1979
1979-03-20,89.3,"Bovill",20,3,1979
1979-03-21,83.7,"Bovill",21,3,1979
1979-03-22,78.5,"Bovill",22,3,1979
1979-03-23,74.3,"Bovill",23,3,1979
1979-03-24,81.4,"Bovill",24,3,1979
1979-03-25,87.9,"Bovill",25,3,1979
1979-03-26,89.9,"Bovill",26,3,1979
1979-03-27,100,"Bovill",27,3,1979
1979-03-28,100,"Bovill",28,3,1979
1979-03-29,100,"Bovill",29,3,1979
1979-03-30,100,"Bovill",30,3,1979
1979-03-31,100,"Bovill",31,3,1979
1979-04-01,100,"Bovill",1,4,1979
1979-04-02,100,"Bovill",2,4,1979
