"date","sph","coord","day","month","year"
1979-01-01,0.00053,"Bovill",1,1,1979
1979-01-02,0.001,"Bovill",2,1,1979
1979-01-03,0.00135,"Bovill",3,1,1979
1979-01-04,0.00093,"Bovill",4,1,1979
1979-01-05,0.00053,"Bovill",5,1,1979
1979-01-06,0.00047,"Bovill",6,1,1979
1979-01-07,0.00056,"Bovill",7,1,1979
1979-01-08,0.00079,"Bovill",8,1,1979
1979-01-09,0.00127,"Bovill",9,1,1979
1979-01-10,0.00212,"Bovill",10,1,1979
1979-01-11,0.00236,"Bovill",11,1,1979
1979-01-12,0.00203,"Bovill",12,1,1979
1979-01-13,0.00211,"Bovill",13,1,1979
1979-01-14,0.00187,"Bovill",14,1,1979
1979-01-15,0.00208,"Bovill",15,1,1979
1979-01-16,0.00154,"Bovill",16,1,1979
1979-01-17,0.0014,"Bovill",17,1,1979
1979-01-18,0.00125,"Bovill",18,1,1979
1979-01-19,0.00185,"Bovill",19,1,1979
1979-01-20,0.00265,"Bovill",20,1,1979
1979-01-21,0.00242,"Bovill",21,1,1979
1979-01-22,0.00128,"Bovill",22,1,1979
1979-01-23,0.00149,"Bovill",23,1,1979
1979-01-24,0.00185,"Bovill",24,1,1979
1979-01-25,0.00124,"Bovill",25,1,1979
1979-01-26,0.0011,"Bovill",26,1,1979
1979-01-27,0.00155,"Bovill",27,1,1979
1979-01-28,0.00132,"Bovill",28,1,1979
1979-01-29,0.00101,"Bovill",29,1,1979
1979-01-30,0.00079,"Bovill",30,1,1979
1979-01-31,0.00082,"Bovill",31,1,1979
1979-02-01,0.00109,"Bovill",1,2,1979
1979-02-02,0.00093,"Bovill",2,2,1979
1979-02-03,0.0018,"Bovill",3,2,1979
1979-02-04,0.00206,"Bovill",4,2,1979
1979-02-05,0.00302,"Bovill",5,2,1979
1979-02-06,0.00306,"Bovill",6,2,1979
1979-02-07,0.00283,"Bovill",7,2,1979
1979-02-08,0.00252,"Bovill",8,2,1979
1979-02-09,0.00346,"Bovill",9,2,1979
1979-02-10,0.00364,"Bovill",10,2,1979
1979-02-11,0.00349,"Bovill",11,2,1979
1979-02-12,0.0038,"Bovill",12,2,1979
1979-02-13,0.00381,"Bovill",13,2,1979
1979-02-14,0.00279,"Bovill",14,2,1979
1979-02-15,0.00236,"Bovill",15,2,1979
1979-02-16,0.00272,"Bovill",16,2,1979
1979-02-17,0.00278,"Bovill",17,2,1979
1979-02-18,0.0033,"Bovill",18,2,1979
1979-02-19,0.00303,"Bovill",19,2,1979
1979-02-20,0.00263,"Bovill",20,2,1979
1979-02-21,0.00299,"Bovill",21,2,1979
1979-02-22,0.00243,"Bovill",22,2,1979
1979-02-23,0.00256,"Bovill",23,2,1979
1979-02-24,0.00284,"Bovill",24,2,1979
1979-02-25,0.00355,"Bovill",25,2,1979
1979-02-26,0.0037,"Bovill",26,2,1979
1979-02-27,0.00333,"Bovill",27,2,1979
1979-02-28,0.00267,"Bovill",28,2,1979
1979-03-01,0.00246,"Bovill",1,3,1979
1979-03-02,0.00228,"Bovill",2,3,1979
1979-03-03,0.0026,"Bovill",3,3,1979
1979-03-04,0.0042,"Bovill",4,3,1979
1979-03-05,0.00482,"Bovill",5,3,1979
1979-03-06,0.00605,"Bovill",6,3,1979
1979-03-07,0.00472,"Bovill",7,3,1979
1979-03-08,0.00263,"Bovill",8,3,1979
1979-03-09,0.00229,"Bovill",9,3,1979
1979-03-10,0.00286,"Bovill",10,3,1979
1979-03-11,0.00361,"Bovill",11,3,1979
1979-03-12,0.00354,"Bovill",12,3,1979
1979-03-13,0.00256,"Bovill",13,3,1979
1979-03-14,0.00322,"Bovill",14,3,1979
1979-03-15,0.00424,"Bovill",15,3,1979
1979-03-16,0.00486,"Bovill",16,3,1979
1979-03-17,0.00375,"Bovill",17,3,1979
1979-03-18,0.00342,"Bovill",18,3,1979
1979-03-19,0.00356,"Bovill",19,3,1979
1979-03-20,0.00312,"Bovill",20,3,1979
1979-03-21,0.00302,"Bovill",21,3,1979
1979-03-22,0.003,"Bovill",22,3,1979
1979-03-23,0.00337,"Bovill",23,3,1979
1979-03-24,0.00371,"Bovill",24,3,1979
1979-03-25,0.00339,"Bovill",25,3,1979
1979-03-26,0.00408,"Bovill",26,3,1979
1979-03-27,0.00494,"Bovill",27,3,1979
1979-03-28,0.0043,"Bovill",28,3,1979
1979-03-29,0.00369,"Bovill",29,3,1979
1979-03-30,0.00335,"Bovill",30,3,1979
1979-03-31,0.00301,"Bovill",31,3,1979
1979-04-01,0.00263,"Bovill",1,4,1979
1979-04-02,0.00298,"Bovill",2,4,1979
1979-04-03,0.0032,"Bovill",3,4,1979
1979-04-04,0.00416,"Bovill",4,4,1979
1979-04-05,0.00469,"Bovill",5,4,1979
1979-04-06,0.00514,"Bovill",6,4,1979
1979-04-07,0.00386,"Bovill",7,4,1979
1979-04-08,0.00408,"Bovill",8,4,1979
1979-04-09,0.00405,"Bovill",9,4,1979
1979-04-10,0.00324,"Bovill",10,4,1979
1979-04-11,0.00327,"Bovill",11,4,1979
1979-04-12,0.00375,"Bovill",12,4,1979
1979-04-13,0.00385,"Bovill",13,4,1979
1979-04-14,0.00373,"Bovill",14,4,1979
1979-04-15,0.0041,"Bovill",15,4,1979
1979-04-16,0.00519,"Bovill",16,4,1979
1979-04-17,0.00446,"Bovill",17,4,1979
1979-04-18,0.00345,"Bovill",18,4,1979
1979-04-19,0.00334,"Bovill",19,4,1979
1979-04-20,0.00335,"Bovill",20,4,1979
1979-04-21,0.00304,"Bovill",21,4,1979
1979-04-22,0.00466,"Bovill",22,4,1979
1979-04-23,0.00482,"Bovill",23,4,1979
1979-04-24,0.00465,"Bovill",24,4,1979
1979-04-25,0.00464,"Bovill",25,4,1979
1979-04-26,0.00445,"Bovill",26,4,1979
1979-04-27,0.00472,"Bovill",27,4,1979
1979-04-28,0.00549,"Bovill",28,4,1979
1979-04-29,0.006,"Bovill",29,4,1979
1979-04-30,0.00555,"Bovill",30,4,1979
1979-05-01,0.00558,"Bovill",1,5,1979
