"date","srad","coord","day","month","year"
1979-01-01,83.7,"Bovill",1,1,1979
1979-01-02,44.6,"Bovill",2,1,1979
1979-01-03,47.5,"Bovill",3,1,1979
1979-01-04,65.1,"Bovill",4,1,1979
1979-01-05,65.3,"Bovill",5,1,1979
1979-01-06,66.5,"Bovill",6,1,1979
1979-01-07,67,"Bovill",7,1,1979
1979-01-08,62.6,"Bovill",8,1,1979
1979-01-09,56.3,"Bovill",9,1,1979
1979-01-10,29.1,"Bovill",10,1,1979
1979-01-11,44.2,"Bovill",11,1,1979
1979-01-12,51.3,"Bovill",12,1,1979
1979-01-13,34.5,"Bovill",13,1,1979
1979-01-14,57.6,"Bovill",14,1,1979
1979-01-15,33.2,"Bovill",15,1,1979
1979-01-16,62.1,"Bovill",16,1,1979
1979-01-17,72.8,"Bovill",17,1,1979
1979-01-18,69.3,"Bovill",18,1,1979
1979-01-19,31.6,"Bovill",19,1,1979
1979-01-20,37.6,"Bovill",20,1,1979
1979-01-21,52.8,"Bovill",21,1,1979
1979-01-22,72,"Bovill",22,1,1979
1979-01-23,73.8,"Bovill",23,1,1979
1979-01-24,63.5,"Bovill",24,1,1979
1979-01-25,51.8,"Bovill",25,1,1979
1979-01-26,75.4,"Bovill",26,1,1979
1979-01-27,69.7,"Bovill",27,1,1979
1979-01-28,71.9,"Bovill",28,1,1979
1979-01-29,65.4,"Bovill",29,1,1979
1979-01-30,89.5,"Bovill",30,1,1979
1979-01-31,90.4,"Bovill",31,1,1979
1979-02-01,83,"Bovill",1,2,1979
1979-02-02,83.5,"Bovill",2,2,1979
1979-02-03,66.1,"Bovill",3,2,1979
1979-02-04,86.9,"Bovill",4,2,1979
1979-02-05,54.1,"Bovill",5,2,1979
1979-02-06,66.5,"Bovill",6,2,1979
1979-02-07,75.7,"Bovill",7,2,1979
1979-02-08,66.7,"Bovill",8,2,1979
1979-02-09,46.5,"Bovill",9,2,1979
1979-02-10,69.9,"Bovill",10,2,1979
1979-02-11,86.7,"Bovill",11,2,1979
1979-02-12,81.6,"Bovill",12,2,1979
1979-02-13,62.8,"Bovill",13,2,1979
1979-02-14,96.9,"Bovill",14,2,1979
1979-02-15,95,"Bovill",15,2,1979
1979-02-16,94.6,"Bovill",16,2,1979
1979-02-17,93.5,"Bovill",17,2,1979
1979-02-18,85.2,"Bovill",18,2,1979
1979-02-19,95.8,"Bovill",19,2,1979
1979-02-20,110.8,"Bovill",20,2,1979
1979-02-21,92.7,"Bovill",21,2,1979
1979-02-22,120.1,"Bovill",22,2,1979
1979-02-23,106.2,"Bovill",23,2,1979
1979-02-24,109.2,"Bovill",24,2,1979
1979-02-25,78.9,"Bovill",25,2,1979
1979-02-26,86.4,"Bovill",26,2,1979
1979-02-27,92.2,"Bovill",27,2,1979
1979-02-28,65.8,"Bovill",28,2,1979
1979-03-01,158.9,"Bovill",1,3,1979
1979-03-02,173.7,"Bovill",2,3,1979
1979-03-03,164.3,"Bovill",3,3,1979
1979-03-04,63.7,"Bovill",4,3,1979
1979-03-05,85.7,"Bovill",5,3,1979
1979-03-06,117.5,"Bovill",6,3,1979
1979-03-07,152,"Bovill",7,3,1979
1979-03-08,187.2,"Bovill",8,3,1979
1979-03-09,190.5,"Bovill",9,3,1979
1979-03-10,190.6,"Bovill",10,3,1979
1979-03-11,188.1,"Bovill",11,3,1979
1979-03-12,192.5,"Bovill",12,3,1979
1979-03-13,197.7,"Bovill",13,3,1979
1979-03-14,199.2,"Bovill",14,3,1979
1979-03-15,161.4,"Bovill",15,3,1979
1979-03-16,115.6,"Bovill",16,3,1979
1979-03-17,198.5,"Bovill",17,3,1979
1979-03-18,206.2,"Bovill",18,3,1979
1979-03-19,191.9,"Bovill",19,3,1979
1979-03-20,212.9,"Bovill",20,3,1979
1979-03-21,147.3,"Bovill",21,3,1979
1979-03-22,216.9,"Bovill",22,3,1979
1979-03-23,209.9,"Bovill",23,3,1979
1979-03-24,221.2,"Bovill",24,3,1979
1979-03-25,175.9,"Bovill",25,3,1979
1979-03-26,134.2,"Bovill",26,3,1979
1979-03-27,98.1,"Bovill",27,3,1979
1979-03-28,73.3,"Bovill",28,3,1979
1979-03-29,102.3,"Bovill",29,3,1979
1979-03-30,123.9,"Bovill",30,3,1979
1979-03-31,108.4,"Bovill",31,3,1979
1979-04-01,140.8,"Bovill",1,4,1979
1979-04-02,137.9,"Bovill",2,4,1979
1979-04-03,131.2,"Bovill",3,4,1979
1979-04-04,108.8,"Bovill",4,4,1979
1979-04-05,234.1,"Bovill",5,4,1979
1979-04-06,163.6,"Bovill",6,4,1979
1979-04-07,216.2,"Bovill",7,4,1979
1979-04-08,202.3,"Bovill",8,4,1979
1979-04-09,176.6,"Bovill",9,4,1979
1979-04-10,107.6,"Bovill",10,4,1979
1979-04-11,95.1,"Bovill",11,4,1979
1979-04-12,174.5,"Bovill",12,4,1979
1979-04-13,85.4,"Bovill",13,4,1979
1979-04-14,158.7,"Bovill",14,4,1979
1979-04-15,160.9,"Bovill",15,4,1979
1979-04-16,181.9,"Bovill",16,4,1979
1979-04-17,157.7,"Bovill",17,4,1979
1979-04-18,192.8,"Bovill",18,4,1979
1979-04-19,127.5,"Bovill",19,4,1979
1979-04-20,214.5,"Bovill",20,4,1979
1979-04-21,269.6,"Bovill",21,4,1979
1979-04-22,178.8,"Bovill",22,4,1979
1979-04-23,186.5,"Bovill",23,4,1979
1979-04-24,131.6,"Bovill",24,4,1979
1979-04-25,253,"Bovill",25,4,1979
1979-04-26,283.8,"Bovill",26,4,1979
1979-04-27,286.4,"Bovill",27,4,1979
1979-04-28,283.2,"Bovill",28,4,1979
1979-04-29,260.2,"Bovill",29,4,1979
1979-04-30,270.4,"Bovill",30,4,1979
1979-05-01,247.4,"Bovill",1,5,1979
1979-05-02,273.9,"Bovill",2,5,1979
1979-05-03,271,"Bovill",3,5,1979
1979-05-04,146.2,"Bovill",4,5,1979
1979-05-05,182.2,"Bovill",5,5,1979
1979-05-06,223.9,"Bovill",6,5,1979
1979-05-07,246.6,"Bovill",7,5,1979
1979-05-08,245.7,"Bovill",8,5,1979
1979-05-09,218.8,"Bovill",9,5,1979
1979-05-10,267.9,"Bovill",10,5,1979
1979-05-11,313.5,"Bovill",11,5,1979
1979-05-12,198.4,"Bovill",12,5,1979
1979-05-13,311.4,"Bovill",13,5,1979
1979-05-14,267.5,"Bovill",14,5,1979
1979-05-15,313.4,"Bovill",15,5,1979
1979-05-16,312.5,"Bovill",16,5,1979
1979-05-17,328.7,"Bovill",17,5,1979
1979-05-18,300.9,"Bovill",18,5,1979
1979-05-19,332.9,"Bovill",19,5,1979
1979-05-20,333.2,"Bovill",20,5,1979
1979-05-21,323.9,"Bovill",21,5,1979
1979-05-22,331.7,"Bovill",22,5,1979
1979-05-23,280.7,"Bovill",23,5,1979
1979-05-24,204.8,"Bovill",24,5,1979
1979-05-25,332.4,"Bovill",25,5,1979
1979-05-26,326,"Bovill",26,5,1979
1979-05-27,312.8,"Bovill",27,5,1979
1979-05-28,188.9,"Bovill",28,5,1979
1979-05-29,287.4,"Bovill",29,5,1979
1979-05-30,308.8,"Bovill",30,5,1979
1979-05-31,332.1,"Bovill",31,5,1979
1979-06-01,266.2,"Bovill",1,6,1979
1979-06-02,287,"Bovill",2,6,1979
1979-06-03,315.5,"Bovill",3,6,1979
1979-06-04,310.2,"Bovill",4,6,1979
1979-06-05,133.5,"Bovill",5,6,1979
1979-06-06,189.2,"Bovill",6,6,1979
1979-06-07,297.9,"Bovill",7,6,1979
1979-06-08,271.7,"Bovill",8,6,1979
1979-06-09,308.9,"Bovill",9,6,1979
1979-06-10,261.3,"Bovill",10,6,1979
1979-06-11,299.6,"Bovill",11,6,1979
1979-06-12,318.5,"Bovill",12,6,1979
1979-06-13,320.9,"Bovill",13,6,1979
1979-06-14,318.5,"Bovill",14,6,1979
1979-06-15,290.8,"Bovill",15,6,1979
1979-06-16,244.8,"Bovill",16,6,1979
1979-06-17,110.9,"Bovill",17,6,1979
1979-06-18,228.7,"Bovill",18,6,1979
1979-06-19,279.8,"Bovill",19,6,1979
1979-06-20,321.1,"Bovill",20,6,1979
1979-06-21,320,"Bovill",21,6,1979
1979-06-22,323,"Bovill",22,6,1979
1979-06-23,322.2,"Bovill",23,6,1979
1979-06-24,307,"Bovill",24,6,1979
1979-06-25,317.9,"Bovill",25,6,1979
1979-06-26,309.9,"Bovill",26,6,1979
1979-06-27,320.5,"Bovill",27,6,1979
1979-06-28,319.8,"Bovill",28,6,1979
1979-06-29,300.5,"Bovill",29,6,1979
1979-06-30,233.1,"Bovill",30,6,1979
1979-07-01,123.5,"Bovill",1,7,1979
1979-07-02,320.9,"Bovill",2,7,1979
1979-07-03,347.1,"Bovill",3,7,1979
1979-07-04,336.7,"Bovill",4,7,1979
1979-07-05,320.8,"Bovill",5,7,1979
1979-07-06,332.2,"Bovill",6,7,1979
1979-07-07,333.4,"Bovill",7,7,1979
1979-07-08,322.5,"Bovill",8,7,1979
1979-07-09,300.1,"Bovill",9,7,1979
1979-07-10,300,"Bovill",10,7,1979
1979-07-11,223.9,"Bovill",11,7,1979
1979-07-12,204.7,"Bovill",12,7,1979
1979-07-13,326.9,"Bovill",13,7,1979
1979-07-14,332.6,"Bovill",14,7,1979
1979-07-15,335.8,"Bovill",15,7,1979
1979-07-16,327.4,"Bovill",16,7,1979
1979-07-17,333.9,"Bovill",17,7,1979
1979-07-18,332.9,"Bovill",18,7,1979
1979-07-19,324.8,"Bovill",19,7,1979
1979-07-20,328.4,"Bovill",20,7,1979
1979-07-21,322.9,"Bovill",21,7,1979
1979-07-22,327.6,"Bovill",22,7,1979
1979-07-23,329.3,"Bovill",23,7,1979
1979-07-24,326.9,"Bovill",24,7,1979
1979-07-25,325.5,"Bovill",25,7,1979
1979-07-26,324.8,"Bovill",26,7,1979
1979-07-27,318,"Bovill",27,7,1979
1979-07-28,292.7,"Bovill",28,7,1979
